"Crime.Subcategory","n"
"AGGRAVATED ASSAULT",372
"AGGRAVATED ASSAULT-DV",111
"ARSON",15
"BURGLARY-COMMERCIAL",495
"BURGLARY-COMMERCIAL-SECURE PARKING",35
"BURGLARY-RESIDENTIAL",688
"BURGLARY-RESIDENTIAL-SECURE PARKING",351
"CAR PROWL",2756
"DISORDERLY CONDUCT",5
"DUI",185
"FAMILY OFFENSE-NONVIOLENT",114
"HOMICIDE",8
"LIQUOR LAW VIOLATION",22
"LOITERING",5
"MOTOR VEHICLE THEFT",750
"NARCOTIC",177
"PORNOGRAPHY",5
"PROSTITUTION",73
"RAPE",40
"ROBBERY-COMMERCIAL",119
"ROBBERY-RESIDENTIAL",9
"ROBBERY-STREET",149
"SEX OFFENSE-OTHER",118
"THEFT-ALL OTHER",1031
"THEFT-BICYCLE",254
"THEFT-BUILDING",337
"THEFT-SHOPLIFT",507
"TRESPASS",600
"WEAPON",94
